V1,V2,V3,V4,V5,journal,month,year,URL,q,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_16_TEXT,Q9_17,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1_1,Q11_1_2,Q11_1_3,Q11_1_4,Q11_1_5,Q11_1_6,Q11_2_1,Q11_2_2,Q11_2_3,Q11_2_4,Q11_2_5,Q11_2_6,Q11_3_1,Q11_3_2,Q11_3_3,Q11_3_4,Q11_3_5,Q11_3_6,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_6_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_5_TEXT,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_8_TEXT,Q14_9,Q14_10,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_12_TEXT,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_11_TEXT,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q22,Q23,Q23_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,
R_6A85KZFywIBXnak,Default Response Set,2011-02-13 13:23:09,2011-02-13 13:31:29,0,BMC Evol. Biol.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Disagree,Strongly Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,,,,No policy,,,,,,No policy,,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Somewhat Disagree,.,.,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,.,,,Neutral,Neutral,.,Strongly disagree,.,Strongly disagree,Strongly disagree,.,.,Neutral,,,1,2,3,4,Somewhat Disagree,Agree,postdoc,,1,2,3,4,,,,,,,
R_3Xbc9vHZkaflPak,Default Response Set,2011-02-13 13:18:28,2011-02-13 13:33:58,1,J,,,,2,1,1,2,3,4,1,Somewhat Disagree,Somewhat Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Once,Once,Never,Once,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Once,I was promised collaboration once but this did not eventuate after sending the data.,Never,1,2,3,4,,,,,,I don't know,,,,,No policy,,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,,,,,Other (please specify),We have other planned uses for the data and do not plan to publicly archive the data in the near future,,,1,2,3,4,1,Strongly Agree,Strongly agree,Strongly agree,,.,.,.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,,.,Neutral,.,.,.,.,.,Neutral,Neutral,.,,,1,2,3,4,Somewhat Agree,Somewhat Disagree,tenured faculty,,1,2,3,4,"Some of my answers might be a little misleading.   I would be unhappy to archive publicly some of my datasets now, but when I have finished developing and publishing them, in 5-10 years time, I would be very happy to archive them publicly for use by others.",1,1,2,3,4,
R_6Ptfp6XtGu54Ovq,Default Response Set,2011-02-13 13:23:59,2011-02-13 13:36:12,0,Funct. Ecol.,OCT,2010,,2,1,1,2,3,4,1,Neutral,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Once,Once,Once,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Agree,Neutral,Strongly agree,Neutral,Strongly agree,.,Strongly agree,Strongly disagree,Strongly disagree,.,.,Strongly agree,,"A lot of times, I plan on writing several manuscripts from large datasets, and these other papers could be compromised if the data were public.",Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,.,.,Neutral,Neutral,,,1,2,3,4,Agree,Agree,non-tenured faculty,,1,2,3,4,,,,,,,
R_b9GqRYSg44I7NgE,Default Response Set,2011-02-13 13:22:59,2011-02-13 13:37:47,0,J. Exp. Bot.,OCT,2010,,2,1,1,2,3,4,1,Agree,Agree,1,2,3,4,I've never published a paper based on a dataset collected by me or my co-authors,1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,A few times,exchange of experimental materials,Never,1,2,3,4,,Recommends online public archiving,,,,,,,,,No policy,,,,,,,I don't know,,SOME but not all of the datasets are publicly available online,,,,,,,,,The entire dataset is in the body of the paper,,,,,,We plan to share the dataset upon request,,,,,,,,,1,2,3,4,1,Agree,.,.,Neutral,.,.,Neutral,.,.,.,.,.,,,.,.,Neutral,.,Neutral,.,.,.,.,.,,,1,2,3,4,Somewhat Agree,Strongly Agree,postdoc,,1,2,3,4,,,,,,,
R_bqFtEgnDiXrJ4oc,Default Response Set,2011-02-13 13:19:30,2011-02-13 13:38:49,1,F,,,,2,1,1,2,3,4,1,Strongly Agree,Strongly Agree,1,2,3,4,"Yes, datasets from <b>5 or more papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,A few times,A few times,Once,Never,Never,Never,Never,Never,Never,Many times,Never,,,Never,1,2,3,4,,,Requires online public archiving,,,,,,Requires online public archiving,,,,,,Requires online public archiving,,,I don't know,ALL datasets are publicly available online,,,,,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,.,.,.,Neutral,,,Neutral,Neutral,Neutral,Neutral,.,.,.,.,.,.,,,1,2,3,4,Strongly Agree,Neutral,tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_0wF4phe7GiyicT2,Default Response Set,2011-02-13 13:47:29,2011-02-13 13:50:16,0,Biol. Lett.,OCT,2010,,2,1,1,2,3,4,1,Disagree,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Once,Once,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,,,Never,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0SoqhHCUOMErlCA,Default Response Set,2011-02-13 13:56:38,2011-02-13 13:56:48,0,Proc. R. Soc. B-Biol. Sci.,OCT,2010,,2,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0lHEpe0kiC0V5ME,Default Response Set,2011-02-13 13:50:35,2011-02-13 13:59:23,1,BMC Evol. Biol.,OCT,2010,,2,1,1,2,3,4,1,Strongly Agree,Somewhat Agree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,A few times,A few times,Once,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,SOME but not all of the datasets are publicly available online,,,,,,Journal supplementary information,,,,,,,,,,,,,,,,,,1,2,3,4,1,Neutral,Neutral,.,.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,Neutral,Neutral,.,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,.,,,1,2,3,4,Agree,Agree,non-tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_6zAcu5jHInBpSsc,Default Response Set,2011-02-13 13:49:17,2011-02-13 14:01:25,1,Genetics,OCT,2010,,2,1,1,2,3,4,1,Agree,Somewhat Disagree,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,SOME but not all of the datasets are publicly available online,,,,,,Journal supplementary information,,,,,,,,,,,,,,Other (please specify),We archived the important data.,,,1,2,3,4,1,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,.,.,Strongly disagree,Strongly disagree,,Strongly agree,.,.,.,.,.,.,.,.,Strongly agree,,,1,2,3,4,Somewhat Agree,Somewhat Agree,tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_6Ew2bpTRThjyOby,Default Response Set,2011-02-13 13:57:48,2011-02-13 14:02:53,0,Proc. R. Soc. B-Biol. Sci.,OCT,2010,,2,1,1,2,3,4,1,Agree,Disagree,1,2,3,4,"Yes, datasets from <b>5 or more papers</b> are publicly available on the internet",1,2,3,4,A few times,A few times,Never,Many times,A few times,Never,Once,Never,Never,Never,Never,Never,A few times,A few times,,,Never,1,2,3,4,,Recommends online public archiving,Requires online public archiving,,,,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Somewhat Disagree,Neutral,Neutral,.,.,Neutral,Neutral,.,.,.,.,.,,,Neutral,Neutral,Neutral,.,.,Neutral,Neutral,Neutral,Neutral,.,,,1,2,3,4,Somewhat Agree,Agree,tenured faculty,,1,2,3,4,,,,,,,
R_5tDP8k0yJnHR3Te,Default Response Set,2011-02-13 14:12:50,2011-02-13 14:16:52,0,Oecologia,OCT,2010,,2,1,1,2,3,4,1,Strongly Disagree,Strongly Disagree,1,2,3,4,I've never published a paper based on a dataset collected by me or my co-authors,1,2,3,4,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,I don't know,,Recommends online public archiving,,,,,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,,,,,,We considered publicly archiving data and decided not to,,,,,,,1,2,3,4,1,Neutral,.,.,.,.,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,.,.,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,
R_3COkGaxJoL4ggKg,Default Response Set,2011-02-13 14:14:13,2011-02-13 14:21:50,1,Biol. J. Linnean Soc.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Agree,Somewhat Agree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Once,Once,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,,,Never,1,2,3,4,,,,Other,,,,,,,No policy,,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,,,,,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Somewhat Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,.,.,.,,,.,.,.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,.,,,1,2,3,4,Neutral,Neutral,postdoc,,1,2,3,4,,1,1,2,3,4,
R_b7p50BTd4DjvXgM,Default Response Set,2011-02-13 13:57:09,2011-02-13 14:31:43,0,Mol. Phylogenet. Evol.,OCT,2010,,2,1,1,2,3,4,1,Strongly Agree,Agree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Once,Once,,A few times,A few times,Never,Once,Never,Never,Never,Never,Never,A few times,Never,,,Never,1,2,3,4,,,Requires online public archiving,,,,,,,,No policy,,,,,,No policy,,ALL datasets are publicly available online,,,,,,,Journal supplementary information,A repository for data or research output,,,,,,,,,,,,,,,,,1,2,3,4,1,Neutral,.,.,Strongly disagree,.,.,.,Strongly disagree,.,.,.,Strongly disagree,,,.,.,.,Neutral,.,.,.,.,Neutral,.,,,1,2,3,4,Strongly Agree,Agree,research staff,,1,2,3,4,,,,,,,
R_d7iCXXdA4m6S1Zq,Default Response Set,2011-02-13 14:25:03,2011-02-13 14:32:34,1,J. Exp. Biol.,OCT,2010,,2,1,1,2,3,4,1,Agree,Somewhat Agree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Neutral,Neutral,.,.,.,.,.,.,.,.,.,.,,,.,.,.,Neutral,.,.,.,.,.,.,,,1,2,3,4,Disagree,Agree,student,,1,2,3,4,,1,1,2,3,4,
R_4ZyJHdFUw7C1Pzm,Default Response Set,2011-02-13 14:50:02,2011-02-13 14:56:04,0,J. Evol. Biol.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Agree,Somewhat Disagree,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,Requires online public archiving,,,,,,,,No policy,,,,,,No policy,,ALL datasets are publicly available online,,,,,,,,A repository for data or research output,,,,,,The dataset has been submitted to a repository and is currently under embargo,,,,,,,,,,,1,2,3,4,1,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,.,.,Neutral,.,.,Neutral,Neutral,.,Neutral,.,,,1,2,3,4,Somewhat Disagree,Agree,postdoc,,1,2,3,4,,,,,,,
R_bkGm8bXFC6LbyHa,Default Response Set,2011-02-13 14:52:35,2011-02-13 15:02:09,1,Funct. Ecol.,OCT,2010,,2,1,1,2,3,4,1,Agree,Disagree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Many times,Many times,A few times,A few times,A few times,Never,Once,Never,Never,Never,Never,Never,A few times,Never,,,Never,1,2,3,4,,,,,No policy,,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,,NONE of the datasets are publicly available online,,,,,,,,,,,,,,We plan to share the dataset upon request,,,,,,,,,1,2,3,4,1,Agree,Neutral,.,Strongly disagree,Strongly agree,Neutral,.,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,,,Neutral,Neutral,.,Strongly disagree,.,Strongly disagree,Strongly disagree,.,.,Strongly disagree,,,1,2,3,4,Agree,Strongly Disagree,tenured faculty,,1,2,3,4,Just want to point out that I do a lot of datasharing but always in a collaboration rather than by just putting the data on the web.,1,1,2,3,4,
R_5BkIHhqkOdh90BS,Default Response Set,2011-02-13 15:06:34,2011-02-13 15:16:05,0,Mol. Phylogenet. Evol.,OCT,2010,,2,1,1,2,3,4,1,Strongly Agree,Agree,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Many times,Many times,Never,A few times,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,,Never,1,2,3,4,,Recommends online public archiving,,,,,,,,,No policy,,,Recommends online public archiving,,,,,,SOME but not all of the datasets are publicly available online,,,,,,,,,,Other (please specify),Genebank,,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,.,.,Strongly disagree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,1,2,3,4,Agree,Neutral,postdoc,,1,2,3,4,,,,,,,
R_4HiTYyXIXvo3n92,Default Response Set,2011-02-13 15:16:10,2011-02-13 15:19:32,1,Faseb J.,OCT,2010,,2,1,1,2,3,4,1,Strongly Disagree,Strongly Disagree,1,2,3,4,"Yes, datasets from <b>5 or more papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,,I don't know,,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,,,1,2,3,4,Strongly Disagree,Strongly Disagree,research staff,,1,2,3,4,no,1,1,2,3,4,
R_3ylalDnZkqKlIvG,Default Response Set,2011-02-13 16:11:44,2011-02-13 16:12:08,0,BMC Plant Biol.,OCT,2010,,2,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6g4J4Tm5HdsIEWE,Default Response Set,2011-02-13 16:08:13,2011-02-13 16:14:11,1,Am. Nat.,OCT,2010,,2,1,1,2,3,4,1,Neutral,Neutral,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,,,,,,,,,,,,,,,,,Never,1,2,3,4,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,,,,We did not collect any data for that publication,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,Strongly agree,Strongly agree,Strongly agree,Neutral,.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,,,1,2,3,4,Strongly Agree,Strongly Agree,postdoc,,1,2,3,4,,1,1,2,3,4,
R_cYNyH0WEIzzSJco,Default Response Set,2011-02-13 16:22:23,2011-02-13 16:22:38,0,Oecologia,OCT,2010,,2,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aXi3Not0ad9stAo,Default Response Set,2011-02-13 16:34:21,2011-02-13 16:34:49,0,ISME J.,OCT,2010,,2,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1OhWFuEjAB3IVhy,Default Response Set,2011-02-13 16:31:30,2011-02-13 16:44:23,1,J. Biogeogr.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Agree,Somewhat Agree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Once,Never,,,Never,1,2,3,4,,Recommends online public archiving,,,,I don't know,,Recommends online public archiving,,,,I don't know,,Recommends online public archiving,,,,I don't know,,SOME but not all of the datasets are publicly available online,,,,,,Journal supplementary information,,,,,,,,,,,,"We wanted to publicly archive the data but were not able to, due to resource limitations","We wanted to publicly archive the data but were not able to, for other reasons",,,,,1,2,3,4,1,Somewhat Agree,.,.,Strongly disagree,.,Strongly disagree,.,Strongly disagree,Strongly disagree,.,.,Strongly agree,,If I compiled a dataset over 2 years and had 5-6 publications planned with this dataset I would not want to release it after the 1st publication but I would be more than happy to after a reasonable amount of time (say 2-5 years after submission of the first paper). ,.,.,.,Neutral,.,.,.,.,.,,.,see comment above,1,2,3,4,Agree,Disagree,tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_5mU0TjEWry0ukks,Default Response Set,2011-02-13 16:35:17,2011-02-13 16:45:41,0,ISME J.,OCT,2010,,1,1,1,2,3,4,1,Agree,Agree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,A few times,A few times,Never,A few times,Never,Never,Never,Never,Never,Never,Never,Never,Never,A few times,Never,,A few times,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9sLZcbCovevYToo,Default Response Set,2011-02-13 16:17:49,2011-02-13 17:00:03,0,FEBS Lett.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Agree,Somewhat Agree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,A few times,A few times,Once,Once,Never,Never,Never,Once,Never,Never,Never,A few times,A few times,A few times,Never,,A few times,1,2,3,4,,,,Other,,,,,,Other,,,,,,Other,,,ALL datasets are publicly available online,,,,,,,Journal supplementary information,A repository for data or research output,A personal or lab website,The entire dataset is in the body of the paper,,,,,We plan to publicly archive the dataset in the future,,,,,,,,,,1,2,3,4,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,2,3,4,Somewhat Agree,Somewhat Agree,tenured faculty,,1,2,3,4,,,,,,,
R_aiasfhMIRiwUJbS,Default Response Set,2011-02-13 16:48:00,2011-02-13 17:13:40,1,ISME J.,OCT,2010,,2,1,1,2,3,4,1,Strongly Agree,Strongly Agree,1,2,3,4,"Yes, datasets from <b>5 or more papers</b> are publicly available on the internet",1,2,3,4,Never,Never,Never,Many times,Never,Never,Never,Never,Never,Never,Never,Never,Never,A few times,Never,,A few times,1,2,3,4,,,,,,I don't know,,,,,No policy,,,,,,No policy,,ALL datasets are publicly available online,,,I don't know,,,,Journal supplementary information,,,The entire dataset is in the body of the paper,,,,,,,,,,,,,Not applicable,,1,2,3,4,1,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,,,.,.,Neutral,.,Neutral,.,Neutral,Neutral,.,.,,,1,2,3,4,Agree,Neutral,tenured faculty,,1,2,3,4,,1,1,2,3,4,
R_cA6HXp1WK91CPIw,Default Response Set,2011-02-13 17:32:17,2011-02-13 17:38:46,0,Ecology,OCT,2010,,2,1,1,2,3,4,1,Disagree,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,,,,,,,,,,,,,,,,,,1,2,3,4,,Recommends online public archiving,,,,,,,,,,I don't know,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,,,,,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Strongly Disagree,Strongly disagree,Strongly disagree,.,.,Strongly disagree,Strongly disagree,Neutral,.,.,.,Strongly disagree,,,Neutral,Neutral,Neutral,.,.,.,.,Neutral,Neutral,Strongly agree,,,1,2,3,4,Disagree,Disagree,postdoc,,1,2,3,4,,,,,,,
R_7Pz625arPQKsShu,Default Response Set,2011-02-13 17:27:07,2011-02-13 17:45:45,1,Behav. Ecol. Sociobiol.,OCT,2010,,2,1,1,2,3,4,1,Agree,Agree,1,2,3,4,"Yes, a dataset from <b>one paper</b> is publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,A few times,Never,Never,Never,Never,Never,,,Never,1,2,3,4,,,,,,I don't know,,,,,No policy,,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,,We considered publicly archiving data and decided not to,,,,,,,1,2,3,4,1,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,.,.,.,,,.,.,.,.,.,.,.,.,.,.,,,1,2,3,4,Neutral,Neutral,research staff,,1,2,3,4,,1,1,2,3,4,
R_bvDAQnqlQaIG4kY,Default Response Set,2011-02-13 14:14:10,2011-02-13 18:12:26,1,Evolution,OCT,2010,,2,1,1,2,3,4,1,Strongly Agree,Neutral,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,A few times,Never,Never,A few times,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,Recommends online public archiving,,,,,,Recommends online public archiving,,,,,,,,,No policy,,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,,,,,,,,Not applicable,,1,2,3,4,1,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,2,3,4,Neutral,Somewhat Agree,tenured faculty,,1,2,3,4,"Some of the questions could have been better phrased.  For example, toward the beginning, when you ask ""How strongly do you disagree/agree with the following statements?"" for a question with a binary answer (or I don't know) is not an appropriate way to ask this question.  Either the field has or does not have the practice or the respondent doesn't know.",1,1,2,3,4,
R_1G63cpp3pE5XDoM,Default Response Set,2011-02-13 18:15:34,2011-02-13 18:22:17,0,Biol. Lett.,OCT,2010,,2,1,1,2,3,4,1,Somewhat Disagree,Disagree,1,2,3,4,"No, none of my paper-related datasets are publicly available on the internet",1,2,3,4,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,1,2,3,4,,,,,,I don't know,,,,,,I don't know,,,,,,I don't know,,,NONE of the datasets are publicly available online,,,,,,,,,,,Not applicable,,,We plan to share the dataset upon request,We hadn't considered publicly archiving the dataset,,,,,,,,1,2,3,4,1,Neutral,Neutral,Neutral,Neutral,.,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,.,Neutral,.,,,1,2,3,4,Somewhat Agree,Neutral,student,,1,2,3,4,,,,,,,
R_b4pNSkSANcaT3Wk,Default Response Set,2011-02-13 19:10:32,2011-02-13 19:19:28,0,Oecologia,OCT,2010,,2,1,1,2,3,4,1,Somewhat Agree,Disagree,1,2,3,4,"Yes, datasets from <b>2-4 papers</b> are publicly available on the internet",1,2,3,4,Never,A few times,Never,Once,Once,Never,Never,Never,Never,Never,Never,Never,A few times,A few times,Never,,Never,1,2,3,4,,,,,,I don't know,,Recommends online public archiving,,,,,,,,,,I don't know,,SOME but not all of the datasets are publicly available online,,,,,,,A repository for data or research output,,,Other (please specify),Government data,,,,We plan to share the dataset upon request,,,,,,,,,1,2,3,4,1,Agree,.,.,Neutral,Strongly agree,Neutral,.,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,,Neutral,Neutral,Strongly disagree,.,.,.,.,.,.,.,,,1,2,3,4,Agree,Somewhat Agree,postdoc,,1,2,3,4,,,,,,,
