"","ResponseID","StartDate","EndDate","Finished","journal","month","year","URL","q","Q1","Q2_1","Q2_2","Q2_3","Q2_4","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","Q8_1","Q8_2","Q8_3","Q8_4","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q9_14","Q9_15","Q9_16","Q9_17","Q10_1","Q10_2","Q10_3","Q10_4","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q14_10","Q15_1","Q15_2","Q15_3","Q15_4","Q16","Q17","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_10","Q18_11","Q18_12","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q19_9","Q19_10","Q19_11","Q19_11_TEXT","Q20_1","Q20_2","Q20_3","Q20_4","Q21","Q22","Q23","Q23_TEXT","Q24_1","Q24_2","Q24_3","Q24_4","Q26","Q27_1","Q27_2","Q27_3","Q27_4","X","Q11_1","Q11_2","Q11_3"
"12","R_bP02Hwp4RS2svYg","2011-02-01 07:48:26","2011-02-01 08:02:44","1","ISME J.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Somewhat Agree","1","2","3","4","5+ papers","1","2","3","4","A few times","Once","Once","A few times","A few times","Never","Never","A few times","A few times","A few times","Never","Many times","Many times","A few times",NA,"A few times","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,NA,"Neutral","Neutral",NA,NA,"Neutral","Neutral",NA,NA,NA,"","","1","2","3","4","Neutral","Neutral","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","I don't know"
"13","R_6mmap5EL5wAnEVu","2011-02-01 07:46:43","2011-02-01 08:02:53","1","Plant J.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Somewhat Agree","1","2","3","4","1 paper","1","2","3","4","A few times","A few times","A few times","Many times",NA,NA,"Once","Never","Once","Once","Never","Never","A few times","Once",NA,"Never","1","2","3","4","","","","","","Other (please specify)","Journal supplementary information","","","","","","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Disagree","Neutral",NA,"Strongly Disagree",NA,"Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,NA,NA,"Neutral","Strongly Disagree",NA,"Neutral","Neutral",NA,NA,NA,"","","1","2","3","4","Agree","Disagree","research staff","","1","2","3","4","1","1","2","3","4",NA,"I don't know","Recommends online public archiving","Recommends online public archiving"
"14","R_0PxB51ecEFn8Lt2","2011-02-01 07:53:27","2011-02-01 08:03:12","0","Mol. Ecol.","OCT","2010","","1","1","1","2","3","4","1","Agree","Somewhat Agree","1","2","3","4","1 paper","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never",NA,"Never","1","2","3","4","","SOME but not all of the datasets are publicly available online","","","","","Journal supplementary information","","","","","","","","","","","","","","","","1","2","3","4","1","Disagree",NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","1","2","3","4","Somewhat Agree","Somewhat Disagree","postdoc","","1","2","3","4","","","","","",NA,"I don't know","No policy","No policy"
"15","R_cvBKMUgERK48QiE","2011-02-01 07:53:46","2011-02-01 08:03:15","1","Ecology","OCT","2010","","1","1","1","2","3","4","1","Neutral","Somewhat Agree","1","2","3","4","None","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","","","1","2","3","4","Neutral","Neutral","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","No policy","No policy"
"16","R_6roAsTrrPr9cxhy","2011-02-01 07:51:17","2011-02-01 08:04:40","1","Biol. Conserv.","OCT","2010","","1","1","1","2","3","4","1","Agree","Agree","1","2","3","4","None","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Agree",NA,"Neutral","Neutral","Neutral",NA,NA,"Strongly Agree","","","1","2","3","4","Disagree","Neutral","research staff","","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","Recommends online public archiving"
"17","R_8fdxYRmzUS1Pv8M","2011-02-01 07:53:34","2011-02-01 08:04:59","0","Ecol. Appl.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Disagree","1","2","3","4","None","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","","Other (please specify)","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Strongly Disagree","Neutral","Neutral","Neutral",NA,NA,"Neutral","Strongly Disagree",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,"Neutral",NA,"","","1","2","3","4","Somewhat Agree","Somewhat Agree","student","","1","2","3","4","","","","","",NA,"Recommends online public archiving","No policy","I don't know"
"18","R_4Nv3oJvElgwms3q","2011-02-01 07:58:28","2011-02-01 08:05:37","1","Mol. Ecol.","OCT","2010","","1","1","1","2","3","4","1","Agree","Agree","1","2","3","4","2-4 papers","1","2","3","4","Once","Never","Never","Never","Never","Never","Never","Never","Once","Never","Never","Never","A few times","Never",NA,"Never","1","2","3","4","","SOME but not all of the datasets are publicly available online","","","","","","A repository for data or research output","","","","","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Agree",NA,NA,"Neutral",NA,"Neutral",NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,NA,"Neutral","Neutral",NA,NA,NA,"Neutral",NA,"","","1","2","3","4","Somewhat Agree","Neutral","research staff","","1","2","3","4","1","1","2","3","4",NA,"Recommends online public archiving","No policy","No policy"
"19","R_42EzY6LazhpMnbu","2011-02-01 07:48:03","2011-02-01 08:06:38","0","J. Evol. Biol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Neutral","1","2","3","4","1 paper","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","ALL datasets are publicly available online","","","","","","","A repository for data or research output","","","","","","","","","","","","","Not applicable","","1","2","3","4","1","Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral","Neutral",NA,NA,"Neutral",NA,NA,NA,"Neutral","Neutral","Neutral",NA,NA,NA,NA,NA,"","","1","2","3","4","Somewhat Agree","Neutral","postdoc","","1","2","3","4","","","","","",NA,"I don't know","No policy","No policy"
"20","R_eEwWhfDBnTUtgna","2011-02-01 07:46:44","2011-02-01 08:09:29","1","Ecol. Appl.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Agree","1","2","3","4","2-4 papers","1","2","3","4","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"A few times","1","2","3","4","","","","","","Other (please specify)","","","","","Other (please specify)","","","","","","","","","","","","1","2","3","4","1","Strongly Agree",NA,NA,"Neutral",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,"","","1","2","3","4","Agree","Somewhat Agree","postdoc","","1","2","3","4","1","1","2","3","4",NA,"I don't know","No policy","No policy"
"21","R_4PnTQPNA1U3AJfK","2011-02-01 07:52:18","2011-02-01 08:10:51","0","Biol. J. Linnean Soc.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Strongly Agree","1","2","3","4","5+ papers","1","2","3","4","Never","Never","Never","A few times","A few times","Once","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"Never","1","2","3","4","ALL datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Disagree",NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral",NA,NA,"Strongly Disagree",NA,NA,"Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree",NA,NA,NA,"","","1","2","3","4","Agree","Neutral","tenured faculty","","1","2","3","4","","","","","",NA,"Requires online public archiving","No policy","No policy"
"22","R_5Bdzf4LWBG6o1hi","2011-02-01 08:09:55","2011-02-01 08:12:49","1","J. Biogeogr.","OCT","2010","","1","1","1","2","3","4","1","Agree","Agree","1","2","3","4","5+ papers","1","2","3","4","A few times","A few times","Never","A few times","Never","A few times","A few times","Never","Never","Never","Never","Never","Many times","A few times","Never","A few times","1","2","3","4","ALL datasets are publicly available online","","","","","","Journal supplementary information","","A personal or lab website","","","","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Disagree",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","","1","2","3","4","Strongly Agree","Somewhat Agree","non-tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"Recommends online public archiving","Recommends online public archiving","Recommends online public archiving"
"23","R_8jKTJ2uMcmSBSao","2011-02-01 08:05:29","2011-02-01 08:13:40","1","Mol. Biol. Evol.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Agree","1","2","3","4","Not sure","1","2","3","4","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","1","2","3","4","","","","","We did not collect any data for that publication","","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Disagree",NA,NA,"Neutral",NA,NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,NA,"","","1","2","3","4","Strongly Agree","Somewhat Agree","postdoc","","1","2","3","4","1","1","2","3","4",NA,"Requires online public archiving","Requires online public archiving","I don't know"
"24","R_bjQo7qIgjfhdBYM","2011-02-01 07:52:26","2011-02-01 08:14:47","1","J. Biogeogr.","OCT","2010","","1","1","1","2","3","4","1","Agree","Somewhat Agree","1","2","3","4","2-4 papers","1","2","3","4","Never","Never","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Many times","Once","Never","Never","1","2","3","4","","SOME but not all of the datasets are publicly available online","","","","","Journal supplementary information","A repository for data or research output","","","","","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Strongly Disagree","Neutral",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"Neutral",NA,NA,"Strongly Disagree",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","","","1","2","3","4","Strongly Agree","Somewhat Agree","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"Recommends online public archiving","No policy","No policy"
"25","R_cA5fbY3HYdShd3K","2011-02-01 08:03:04","2011-02-01 08:14:54","1","PLoS. Biol.","OCT","2010","","1","1","1","2","3","4","1","Disagree","Disagree","1","2","3","4","None","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","","","","","","Other (please specify)","","","","","","Not applicable","","","","","","","","","Not applicable","","1","2","3","4","1","Strongly Agree","Neutral",NA,"Neutral",NA,"Neutral",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree",NA,NA,NA,NA,"","","1","2","3","4","Neutral","Strongly Disagree","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","I don't know"
"26","R_77G0kZdxQHupw8I","2011-02-01 07:54:50","2011-02-01 08:15:10","1","Biol. J. Linnean Soc.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Disagree","1","2","3","4","Not sure","1","2","3","4","A few times","A few times","Never","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","A few times",NA,"A few times","1","2","3","4","","","","I don't know","","","Journal supplementary information","","","","","","","","","","","","","","Not applicable","","1","2","3","4","1","Somewhat Disagree","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"","","1","2","3","4","Agree","Somewhat Agree","research staff","","1","2","3","4","1","1","2","3","4",NA,"Forbids online public archiving","Forbids online public archiving","Forbids online public archiving"
"27","R_6PPFdm5ccE8UFCY","2011-02-01 08:02:49","2011-02-01 08:15:15","1","Proc. R. Soc. B-Biol. Sci.","OCT","2010","","1","1","1","2","3","4","1","Disagree","Disagree","1","2","3","4","None","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","1","2","3","4","1","Somewhat Agree","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral","","","1","2","3","4","Disagree","Neutral","Other (please specify)","Professor","1","2","3","4","1","1","2","3","4",NA,"I don't know","I don't know","Forbids online public archiving"
"28","R_20qtB16QJFTmBP6","2011-02-01 08:16:35","2011-02-01 08:19:09","0","Plant J.","OCT","2010","","1","1","1","2","3","4","1","Strongly Agree","Agree","1","2","3","4","1 paper","1","2","3","4","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Once","Never",NA,"Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","","","","","","","","","1","2","3","4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"","","","","","","","","","","",NA,"Recommends online public archiving","Requires online public archiving","I don't know"
"29","R_eX0UKjWPKobHqJK","2011-02-01 08:11:23","2011-02-01 08:20:11","1","Funct. Ecol.","OCT","2010","","1","1","1","2","3","4","1","Agree","Somewhat Agree","1","2","3","4","5+ papers","1","2","3","4","A few times","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never",NA,"Never","1","2","3","4","","SOME but not all of the datasets are publicly available online","","","","","","","A personal or lab website","","","","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Disagree",NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,NA,NA,NA,"Strongly Disagree",NA,NA,"Neutral",NA,NA,NA,"","","1","2","3","4","Somewhat Disagree","Somewhat Agree","tenured faculty","","1","2","3","4","1","1","2","3","4",NA,"I don't know","Requires online public archiving","Recommends online public archiving"
"30","R_b1TOMxadJNVpXXS","2011-02-01 08:10:51","2011-02-01 08:20:31","0","Evolution","OCT","2010","","1","1","1","2","3","4","1","Agree","Disagree","1","2","3","4","None","1","2","3","4","A few times","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times","Never","1","2","3","4","","","NONE of the datasets are publicly available online","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","1","2","3","4","1","Disagree",NA,NA,NA,NA,"Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,NA,NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"","","1","2","3","4","Disagree","Disagree","postdoc","","1","2","3","4","","","","","",NA,"I don't know","I don't know","I don't know"
"31","R_bOeYQQAOTjZJkQA","2011-02-01 08:27:22","2011-02-01 08:28:55","0","Behav. Ecol. Sociobiol.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Somewhat Disagree","1","2","3","4","2-4 papers","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"","","","","","","","","","","",NA,"","",""
"32","R_1GkC5euYh73k3R2","2011-02-01 08:10:43","2011-02-01 08:31:19","0","Faseb J.","OCT","2010","","1","1","1","2","3","4","1","Somewhat Agree","Somewhat Disagree","1","2","3","4","5+ papers","1","2","3","4","Many times","Many times","Many times","Many times","A few times","Once","A few times","A few times","Once","Never","Never","Never","A few times","Once",NA,"Never","1","2","3","4","ALL datasets are publicly available online","","","","","","","","","","Other (please specify)","","","","","","","","","","","","1","2","3","4","1","Agree","Strongly Disagree",NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"Strongly Agree","","","1","2","3","4","Strongly Agree","Agree","tenured faculty","","1","2","3","4","","","","","",NA,"Recommends online public archiving","Recommends online public archiving","Requires online public archiving"
