"","ResponseID","ResponseDate","PublicationDate","Journal","Q_1","Q_2","Q_3","Q_4_1","Q_4_2","Q_4_3","Q_4_4","Q_4_5","Q_4_6","Q_4_7","Q_4_8","Q_4_9","Q_4_10","Q_4_11","Q_4_12","Q_4_13","Q_4_14","Q_4_15","Q_4_15_TEXT","Q_4_16","Q_5_1","Q_5_2","Q_5_3","Q_6_1","Q_6_2","Q_6_3","Q_6_4","Q_6_5","Q_6_6","Q_6_6_TEXT","Q_7_1","Q_7_2","Q_7_3","Q_7_4","Q_7_5","Q_7_5_TEXT","Q_7_6","Q_8_1","Q_8_2","Q_8_3","Q_8_4","Q_8_5","Q_8_6","Q_8_7","Q_8_8","Q_8_8_TEXT","Q_8_9","Q_8_10","Q_9","Q_10_1","Q_10_2","Q_10_3","Q_10_4","Q_10_5","Q_10_6","Q_10_7","Q_10_8","Q_10_9","Q_10_10","Q_10_11","Q_10_12","Q_10_12_TEXT","Q_11_1","Q_11_2","Q_11_3","Q_11_4","Q_11_5","Q_11_6","Q_11_7","Q_11_8","Q_11_9","Q_11_10","Q_11_11","Q_11_11_TEXT","Q_12","Q_13","Q_14_1","Q_14_2","Q_15","Q_16"
"12","R_bP02Hwp4RS2svYg","Feb 2011","Oct 2010","ISME J.","Strongly Agree","Somewhat Agree","5+ papers with archived data","A few times","Once","Once","A few times","A few times","Never","Never","A few times","A few times","A few times","Never","Many times","Many times","A few times",NA,"","A few times","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,"Neutral","Neutral",NA,NA,"Neutral","Neutral",NA,NA,NA,NA,"","Neutral","Neutral","tenured faculty",""," ","1"
"13","R_6mmap5EL5wAnEVu","Feb 2011","Oct 2010","Plant J.","Strongly Agree","Somewhat Agree","1 paper with archived data","A few times","A few times","A few times","Many times",NA,NA,"Once","Never","Once","Once","Never","Never","A few times","Once",NA,"","Never","I don't know","Recommends online public archiving","Recommends online public archiving","","","","","","Other (please specify)","Like many of my papers, this work did not involve large datasets that are approriate for online use - all of the data are within the body of the paper apart from a few raw numbers. Further data examples and materials are online","Journal supplementary information","","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Disagree","Neutral",NA,"Strongly Disagree",NA,"Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,NA,"Neutral","Strongly Disagree",NA,"Neutral","Neutral",NA,NA,NA,NA,"","Agree","Disagree","research staff","","In most of my paper, the entire dataset is contained within the body of the paper. There isn't an option for this on most questions. I try to share all of my data whenever I can, but this doesn't come across in my answers to some of your questions.   / Other things you might ask about / Sharing of materials / Journal policies about submitting information to databases eg Tair: some journals more or less insist","1"
"14","R_0PxB51ecEFn8Lt2","Feb 2011","Oct 2010","Mol. Ecol.","Agree","Somewhat Agree","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never",NA,"","Never","I don't know","No policy","No policy","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","","","","","","","","","","","Disagree",NA,NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat Agree","Somewhat Disagree","postdoc","","",""
"15","R_cvBKMUgERK48QiE","Feb 2011","Oct 2010","Ecology","Neutral","Somewhat Agree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","No policy","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"","Neutral","Neutral","tenured faculty","","","1"
"16","R_6roAsTrrPr9cxhy","Feb 2011","Oct 2010","Biol. Conserv.","Agree","Agree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","I don't know","Recommends online public archiving","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"",NA,NA,"Strongly Agree",NA,"Neutral","Neutral","Neutral",NA,NA,"Strongly Agree",NA,"","Disagree","Neutral","research staff","","You have caught me at a good time when I am just about to archive my data for ready access. Its taken a lot of time but its good to see more institutions doing this.  /  / My only concern and one that needs to be addressed is that one of the reasons underlying the sudden surge in interest for data sharing has been to allow climate change sceptics and those questioning the significance of contemporary environmental problems to re-analyze data sets by scientists. While I am all for open access of research findings, I think that it is imperative that this is not used as an excuse for those who do not do any research to hound scientists over their data sets in order to promote any kind of agenda. My research does not fall  into the realm of policy but for those scientists whose work that does, I would find it disconerting if politically-driven groups with agendas use archived data to attack scientists and to try to undermine the findings of empirical research. I have seen this quite recently in the debate on climate change, whereby climate scientists are hounded by non-active scientists and laypeople who in my opinion are trying to downplay the issue. Perhaps your questionnaire could be refined to allow for some discussion of this issue.   ","1"
"17","R_8fdxYRmzUS1Pv8M","Feb 2011","Oct 2010","Ecol. Appl.","Somewhat Agree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","Recommends online public archiving","No policy","I don't know","","","","","","Other (please specify)","Simulation data/results are available by request","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","","Strongly Disagree","Neutral","Neutral","Neutral",NA,NA,"Neutral","Strongly Disagree",NA,NA,"Strongly Disagree","Strongly Disagree",NA,"",NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,"Neutral",NA,NA,"","Somewhat Agree","Somewhat Agree","student","","",""
"18","R_4Nv3oJvElgwms3q","Feb 2011","Oct 2010","Mol. Ecol.","Agree","Agree","2-4 papers with archived data","Once","Never","Never","Never","Never","Never","Never","Never","Once","Never","Never","Never","A few times","Never",NA,"","Never","Recommends online public archiving","No policy","No policy","","SOME but not all of the datasets are publicly available online","","","","","","","A repository for data or research output","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Agree",NA,NA,"Neutral",NA,"Neutral",NA,NA,"Neutral","Neutral",NA,NA,NA,"",NA,NA,NA,"Neutral","Neutral",NA,NA,NA,"Neutral",NA,NA,"","Somewhat Agree","Neutral","research staff","","","1"
"19","R_42EzY6LazhpMnbu","Feb 2011","Oct 2010","J. Evol. Biol.","Somewhat Agree","Neutral","1 paper with archived data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No experience ",NA,"I don't know","No policy","No policy","ALL datasets are publicly available online","","","","","","","","A repository for data or research output","","","","","","","","","","","","","","","Not applicable","","Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral","Neutral",NA,NA,"Neutral",NA,"",NA,NA,"Neutral","Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Somewhat Agree","Neutral","postdoc","","",""
"20","R_eEwWhfDBnTUtgna","Feb 2011","Oct 2010","Ecol. Appl.","Strongly Agree","Agree","2-4 papers with archived data","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"","A few times","I don't know","No policy","No policy","","","","","","Other (please specify)","all of the data is published online as part of my dissertation ","","","","","Other (please specify)","dissertation repository (UMI)","","","","","","","","","","","","","Strongly Agree",NA,NA,"Neutral",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"",NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,"","Agree","Somewhat Agree","postdoc","","","1"
"21","R_4PnTQPNA1U3AJfK","Feb 2011","Oct 2010","Biol. J. Linnean Soc.","Strongly Agree","Strongly Agree","5+ papers with archived data","Never","Never","Never","A few times","A few times","Once","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"","Never","Requires online public archiving","No policy","No policy","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Disagree",NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral",NA,NA,"Strongly Disagree",NA,"",NA,"Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree",NA,NA,NA,NA,"","Agree","Neutral","tenured faculty","","",""
"22","R_5Bdzf4LWBG6o1hi","Feb 2011","Oct 2010","J. Biogeogr.","Agree","Agree","5+ papers with archived data","A few times","A few times","Never","A few times","Never","A few times","A few times","Never","Never","Never","Never","Never","Many times","A few times","Never","","A few times","Recommends online public archiving","Recommends online public archiving","Recommends online public archiving","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","A personal or lab website","","","","","","","","","","","","","","Not applicable","","Strongly Disagree",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","","Strongly Agree","Somewhat Agree","non-tenured faculty","","","1"
"23","R_8jKTJ2uMcmSBSao","Feb 2011","Oct 2010","Mol. Biol. Evol.","Strongly Agree","Agree","Not sure","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","Requires online public archiving","Requires online public archiving","I don't know","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Disagree",NA,NA,"Neutral",NA,NA,NA,"Neutral","Neutral",NA,"Neutral","Neutral",NA,"",NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,NA,NA,"","Strongly Agree","Somewhat Agree","postdoc","","","1"
"24","R_bjQo7qIgjfhdBYM","Feb 2011","Oct 2010","J. Biogeogr.","Agree","Somewhat Agree","2-4 papers with archived data","Never","Never","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Many times","Once","Never","","Never","Recommends online public archiving","No policy","No policy","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","A repository for data or research output","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Strongly Disagree","Neutral",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"","Neutral",NA,NA,"Strongly Disagree",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree",NA,"","Strongly Agree","Somewhat Agree","tenured faculty","","In my area it is obligatory to deposit molecular data (DNA sequences). However, depositing other data (morphological etc,) is optional.  ","1"
"25","R_cA5fbY3HYdShd3K","Feb 2011","Oct 2010","PLoS. Biol.","Disagree","Disagree","No papers with archived data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"we don't share data other than that published. An exception would be details about methods, but that's not data.",NA,"I don't know","I don't know","I don't know","","","","","","Other (please specify)","Again, there are no data available other than that in the paper.","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Agree","Neutral",NA,"Neutral",NA,"Neutral",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree",NA,NA,NA,NA,NA,"","Neutral","Strongly Disagree","tenured faculty","","We perform basic biomedical research. I'm not really sure what you consider a ""dataset"". But if it means the hundreds of FACS scans, gels, in vitro assays, in vivo assays, etc. that we perform for each publication, then making these available is ridiculous. If you mean making making high throughput non-hypothesis -driven data, like microarrays, available, that makes more sense.","1"
"26","R_77G0kZdxQHupw8I","Feb 2011","Oct 2010","Biol. J. Linnean Soc.","Somewhat Agree","Disagree","Not sure","A few times","A few times","Never","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","A few times",NA,"","A few times","Forbids online public archiving","Forbids online public archiving","Forbids online public archiving","","","","I don't know","","","","Journal supplementary information","","","","","","","","","","","","","","","","Not applicable","","Somewhat Disagree","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,"",NA,"Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Agree","Somewhat Agree","research staff","","A decisive aspect of the whole issue was missed: If it takes a lot of time and/or funds and/or skills and/or prior knowledge to collect a certain data set, sharing it with the public may immediately 'catapult' other researchers into a position to do their own research although they did nothing to collect the data.","1"
"27","R_6PPFdm5ccE8UFCY","Feb 2011","Oct 2010","Proc. R. Soc. B-Biol. Sci.","Disagree","Disagree","No papers with archived data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"I don't know","I don't know","Forbids online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Somewhat Agree","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",NA,"",NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral",NA,"","Disagree","Neutral","Other (please specify)","Professor","An interesting aspect of research that I have not given a lot of consideration previously.","1"
"28","R_20qtB16QJFTmBP6","Feb 2011","Oct 2010","Plant J.","Strongly Agree","Agree","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Once","Never",NA,"","Never","Recommends online public archiving","Requires online public archiving","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",""
"29","R_eX0UKjWPKobHqJK","Feb 2011","Oct 2010","Funct. Ecol.","Agree","Somewhat Agree","5+ papers with archived data","A few times","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never",NA,"","Never","I don't know","Requires online public archiving","Recommends online public archiving","","SOME but not all of the datasets are publicly available online","","","","","","","","A personal or lab website","","","","","","","We plan to share the dataset upon request","","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,NA,NA,"Strongly Disagree",NA,NA,"Neutral",NA,NA,NA,NA,"","Somewhat Disagree","Somewhat Agree","tenured faculty","","","1"
"30","R_b1TOMxadJNVpXXS","Feb 2011","Oct 2010","Evolution","Agree","Disagree","No papers with archived data","A few times","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times","A few times","I learned new things about my data","Never","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","","Disagree",NA,NA,NA,NA,"Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Disagree","Disagree","postdoc","","",""
"31","R_bOeYQQAOTjZJkQA","Feb 2011","Oct 2010","Behav. Ecol. Sociobiol.","Somewhat Agree","Somewhat Disagree","2-4 papers with archived data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",""
"32","R_1GkC5euYh73k3R2","Feb 2011","Oct 2010","Faseb J.","Somewhat Agree","Somewhat Disagree","5+ papers with archived data","Many times","Many times","Many times","Many times","A few times","Once","A few times","A few times","Once","Never","Never","Never","A few times","Once",NA,"","Never","Recommends online public archiving","Recommends online public archiving","Requires online public archiving","ALL datasets are publicly available online","","","","","","","","","","","Other (please specify)","University Website(Orbi)","","","","","","","","","","","","","Agree","Strongly Disagree",NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"",NA,NA,"Neutral","Neutral",NA,NA,NA,NA,NA,"Strongly Agree",NA,"","Strongly Agree","Agree","tenured faculty","","",""
"33","R_4HgxVJJtp7Dv7dW","Feb 2011","Oct 2010","BMC Evol. Biol.","Somewhat Agree","Somewhat Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","Recommends online public archiving","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,"","Disagree","Somewhat Agree","student","","I believe in the practice of data sharing, but I have so far received no training in how to do it. ","1"
"34","R_9XKhovHnZPtZSQs","Feb 2011","Oct 2010","PLoS. Biol.","Strongly Agree","Strongly Agree","2-4 papers with archived data","Never","Never","Never","Many times","Never","Never","Never","Never","Never","Never","Never","Never","Once","Once",NA,"","Once","Requires online public archiving",NA,NA,"ALL datasets are publicly available online","","","","","","","Journal supplementary information","A repository for data or research output","","","","","","","","","","","","","","","Not applicable","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"","Strongly Agree","Disagree","tenured faculty","","","1"
"35","R_73P0srIjHe5I1Te","Feb 2011","Oct 2010","J. Evol. Biol.","Neutral","Somewhat Agree","2-4 papers with archived data","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times","Never","Never","","Never","Recommends online public archiving","Recommends online public archiving","Recommends online public archiving","","SOME but not all of the datasets are publicly available online","","","","","","","A repository for data or research output","","","","","","","","We plan to share the dataset upon request","","","","We wanted to publicly archive the data but were not able to, for other reasons","","","","","Neutral",NA,NA,"Neutral",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral","Neutral",NA,NA,"","Agree","Neutral","postdoc","","",""
"36","R_0dowtqwgY2SqOrO","Feb 2011","Oct 2010","Behav. Ecol. Sociobiol.","Neutral","Neutral","2-4 papers with archived data","A few times","Once","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Once","Once",NA,"","Never","Forbids online public archiving","Recommends online public archiving","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Neutral","Strongly Disagree","Strongly Disagree",NA,"Neutral",NA,NA,NA,NA,"","Somewhat Disagree","Somewhat Disagree","tenured faculty","","","1"
